runoff,surface_pressure_hpa,mean_temp_c,max_temp_2m_c,min_temp_2m_c,precipitation_mm,dew_point_c,mean_wind_speed_ms,wind_v_ms,wind_u_ms,solar_net_radiation_j_m2,solar_down_radiation_j_m2
47.40625,785.41,12.98,17.83,8.42,2.05,10.18,1.4,0.54,-1.04,15162928.0,17670888.0
45.53125,785.1,11.16,15.76,8.32,1.09,9.36,1.18,0.34,-1.01,12545550.0,14630620.0
43.34375,783.09,13.48,19.31,9.14,1.09,10.77,1.2,0.48,-0.67,11638034.0,13578508.0
40.875,785.6,11.04,14.87,7.75,4.19,9.69,1.43,-0.33,-1.34,11963228.0,13965344.0
42.28125,786.2,13.36,19.0,8.15,2.72,10.02,0.71,-0.15,-0.23,13954194.0,16303940.0
44.03125,784.88,18.54,25.08,11.08,0.06,12.35,0.82,0.45,-0.05,24492308.0,28629224.0
41.59375,783.03,20.39,25.87,14.51,6.88,14.69,1.18,0.93,0.1,20825670.0,24356544.0
43.375,781.0,17.99,20.86,16.31,12.9,15.84,1.13,1.03,0.19,9814024.0,11481744.0
57.28125,783.81,15.06,19.05,11.4,16.01,13.68,1.33,0.07,-1.02,13762948.0,16108564.0
81.15625,787.58,12.39,14.58,10.95,13.5,10.95,1.09,-0.18,-1.04,7042740.0,8249188.0
96.1875,788.51,13.17,15.9,11.03,4.16,10.37,0.92,0.05,-0.88,8351768.0,9790176.0
92.84375,786.84,14.65,17.92,11.91,3.8,11.94,1.05,0.33,-0.93,12758642.0,14961868.0
85.625,784.97,14.05,17.04,12.01,3.66,12.56,1.03,0.18,-0.96,10113420.0,11864228.0
79.75,785.41,14.23,17.64,11.1,14.37,13.07,1.38,-0.13,-1.33,10459912.0,12276820.0
92.125,788.87,10.08,11.7,8.39,7.9,9.15,1.34,-0.43,-1.25,4452410.0,5229240.0
104.375,790.29,11.24,13.74,8.57,0.82,9.1,0.96,-0.12,-0.9,7031332.0,8262756.0
96.59375,790.17,13.66,16.72,10.76,1.15,10.27,0.88,0.22,-0.83,14387226.0,16917648.0
83.09375,787.97,12.89,14.86,11.59,10.62,11.62,1.03,0.22,-0.95,6463818.0,7604272.0
89.8125,785.63,11.9,14.17,10.49,8.65,10.84,1.07,-0.01,-1.02,4492594.0,5286932.0
97.34375,782.2,13.83,17.82,11.22,5.32,12.21,1.1,0.73,-0.62,9773188.0,11506744.0
93.90625,782.2,15.8,21.43,11.1,7.33,13.35,1.3,0.58,-0.23,14335742.0,16888376.0
94.375,786.56,12.28,15.09,10.71,7.2,11.08,1.29,-0.11,-1.26,6780180.0,7992468.0
96.625,786.85,11.87,13.99,10.4,8.54,10.81,1.24,0.1,-1.15,5117256.0,6036052.0
101.71875,787.71,11.47,13.57,10.47,9.85,10.5,1.04,-0.08,-1.0,3855972.0,4550796.0
106.53125,787.16,11.28,13.54,9.97,9.23,10.23,1.06,-0.14,-1.03,4929164.0,5820260.0
107.09375,786.03,11.63,14.11,10.18,6.35,10.52,1.05,0.04,-1.02,5865364.0,6929236.0
104.5625,786.12,12.6,14.9,10.41,8.01,11.66,1.01,-0.27,-0.94,4783068.0,5653736.0
106.9375,786.45,15.1,17.67,12.26,2.76,12.51,0.8,-0.1,-0.68,6978392.0,8255612.0
102.25,784.6,15.64,17.38,14.27,1.38,12.37,0.77,0.31,-0.62,7274864.0,8609744.0
90.09375,784.35,15.75,17.7,14.24,11.25,14.48,0.76,-0.01,-0.68,6213108.0,7351472.0
91.296875,785.29,17.22,20.72,14.64,5.65,13.54,0.76,0.04,-0.23,9985118.0,11818404.0
91.46875,782.97,18.86,22.96,16.21,7.57,16.6,0.86,0.5,-0.23,14865734.0,17591072.0
95.5625,786.57,15.91,18.68,13.51,18.99,15.29,1.13,-0.48,-1.0,6225886.0,7365420.0
121.796875,788.95,15.63,19.44,12.83,2.14,13.36,0.99,-0.43,-0.75,8708016.0,10304964.0
118.4375,787.21,16.83,19.26,14.16,0.26,13.23,0.9,0.35,-0.36,10551686.0,12485624.0
101.75,785.29,16.56,18.89,15.25,11.06,14.49,0.76,0.66,-0.12,8472642.0,10025484.0
120.734375,783.74,16.18,19.31,13.88,26.5,14.82,0.9,0.07,-0.62,9009526.0,10658140.0
157.25,784.18,14.36,15.95,13.02,7.04,13.91,0.7,0.06,-0.65,4324422.0,5116632.0
159.28125,782.62,15.84,18.37,13.34,8.37,14.35,1.1,0.2,-1.03,7031880.0,8320140.0
155.84375,783.0,15.15,17.15,13.96,5.95,14.29,0.93,0.07,-0.87,4345194.0,5140436.0
150.09375,783.03,15.7,17.72,14.51,12.43,15.02,0.95,-0.03,-0.93,4950988.0,5856776.0
154.15625,783.49,16.04,18.39,14.48,5.43,15.38,0.94,-0.08,-0.92,7102476.0,8402076.0
151.20312,783.68,17.78,21.15,15.24,4.85,16.13,1.02,0.31,-0.92,10881994.0,12873564.0
146.89062,782.95,19.1,23.4,16.45,21.97,17.37,0.88,0.63,0.17,13546584.0,16027764.0
164.15625,782.94,20.14,23.68,17.16,2.3,17.22,1.22,0.87,0.76,13136876.0,15541428.0
152.54688,783.28,22.18,25.61,18.53,1.33,17.26,1.26,0.75,0.89,16439658.0,19448960.0
133.26562,784.5,22.11,25.95,19.11,1.44,17.87,0.94,0.65,0.36,17045754.0,20164284.0
117.375,785.39,19.84,23.81,17.16,9.71,17.4,0.81,0.38,0.21,10952886.0,12956308.0
118.296875,786.53,16.94,18.71,14.65,17.22,15.33,0.7,-0.47,-0.1,5216732.0,6170608.0
139.0625,785.35,19.01,22.12,15.74,1.13,15.68,0.64,0.28,0.15,11327380.0,13400232.0
130.20312,784.3,20.88,24.96,17.26,2.78,17.03,0.93,0.63,0.37,16374546.0,19369492.0
118.5,784.74,18.98,22.55,15.85,13.48,17.72,0.67,0.12,-0.14,9646900.0,11410072.0
145.01562,783.98,18.16,21.69,15.11,16.73,17.14,0.76,0.1,-0.48,8543950.0,10105336.0
184.21875,785.8,15.95,17.36,15.02,2.37,11.05,0.86,-0.48,-0.34,5043544.0,5965676.0
171.1875,784.47,18.81,23.0,15.73,4.51,13.68,1.02,0.38,-0.83,16129190.0,19079512.0
149.57812,784.58,17.4,21.15,15.68,5.18,15.91,1.08,0.42,-0.93,8303500.0,9821164.0
136.78125,785.77,17.74,20.74,16.25,9.96,16.88,0.9,0.46,-0.69,10164008.0,12020148.0
136.03125,785.79,19.35,23.42,16.1,5.24,17.87,1.04,0.79,0.31,12861770.0,15212586.0
135.76562,785.01,20.4,24.11,16.95,3.5,17.02,1.04,0.66,0.53,12349312.0,14605804.0
131.92188,784.54,20.11,24.05,17.8,15.95,17.86,0.81,0.51,0.24,12312300.0,14558156.0
156.4375,786.6,17.59,20.86,14.95,18.26,16.22,0.8,-0.16,-0.09,5261818.0,6219772.0
193.14062,787.77,15.95,18.5,12.93,4.74,13.55,0.9,-0.48,-0.5,8358096.0,9877622.0
184.1875,786.26,17.7,21.26,13.59,0.58,14.18,0.79,0.02,-0.43,17822788.0,21057356.0
156.20312,785.51,18.25,21.85,14.8,7.55,16.1,0.6,0.31,-0.05,16385324.0,19353030.0
145.96875,784.88,18.07,21.13,15.89,7.11,16.45,0.82,0.25,-0.59,14786754.0,17459888.0
143.89062,784.98,18.63,22.54,16.32,4.0,16.91,0.96,0.32,-0.61,16049354.0,18945746.0
137.9375,784.79,18.54,22.59,15.63,3.36,16.42,0.92,0.28,-0.47,13725836.0,16198884.0
130.53125,784.63,17.89,21.41,14.98,6.79,16.72,0.8,0.11,-0.66,12946966.0,15275690.0
130.04688,786.65,16.94,20.77,15.2,15.91,15.98,0.96,-0.06,-0.94,10158162.0,11980710.0
150.73438,787.66,18.23,22.27,14.31,5.7,16.21,0.75,0.45,0.12,13183420.0,15546094.0
